"Costeo","Nombre","Cliente","Estado","Nombre del Comercial","Margen Ponderado","Creado en","Acciones","Id."
"COS-0012716","CAMISETA Y POLO -  HUSQVARNA","SAETA","Creado","Angela Jaramillo",28.57,"05/03/2026 12:34","Solicitar Revisión / Aprobado","81201544"
"COS-0012715","Licitación 2025","Aceros Arequipa","Generada Cotización","Angela Jaramillo",28.57,"05/03/2026 12:31","Duplicar Costeo","81201345"
"COS-0012714","Dotación Uniformes    Emermédica  Marzo  2026","EMERMEDICA","Generada Cotización","Miguel Gutierrez",17.26,"05/03/2026 12:11","Duplicar Costeo","81200797"
"COS-0012713","Invitación a participar – Proceso de Selección para Confección, Suministro y Entrega de Uniformes Av","AVIANCA","Creado","Pilar Gómez",23.01,"04/03/2026 16:14","Solicitar Revisión / Aprobado","81147988"
"COS-0012712","BOND ENERGY- BOTAS DE SEGURIDAD MARZO 2026","BOND ENERGY","Generada Cotización","Xiomara Aranda Perea",13.04,"04/03/2026 14:36","Duplicar Costeo","81145156"
"COS-0012711","BOTAS CONFIPETROL  DICIEMBRE 2025","CONFIPETROL","Creado","Xiomara Aranda Perea",13.04,"04/03/2026 14:32","Solicitar Revisión / Aprobado","81145018"
"COS-0012710","PRENDAS EVENTO HEC  NUEVA IMAGEN   MARZO 2026","NUTRESA","Generada Cotización","Luis Guzman",25.25,"04/03/2026 12:03","Duplicar Costeo","81136957"
"COS-0012709","SERVICIO  DE  BORDADO CAMISAS TRANSER MARZO  2026","FLET X","Generada Cotización","Xiomara Aranda Perea",23.08,"04/03/2026 11:48","Duplicar Costeo","81136463"
"COS-0012708","BUSOS  HOODIES  YUINEX  MARZO 2026","Yunex","Generada Cotización","Xiomara Aranda Perea",20.0,"04/03/2026 11:17","Duplicar Costeo","81135451"
"COS-0012707","Go Beyond DDP Panamá (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",13.6,"04/03/2026 7:51","Duplicar Costeo","81122719"
"COS-0012707","Go Beyond (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",13.6,"04/03/2026 7:51","Duplicar Costeo","81122663"
"COS-0012706","DOTACION OPERATIVA LOGISTICA  361 MARZO 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",16.53,"03/03/2026 14:08","Duplicar Costeo","81073863"
"COS-0012705","CHAQUETA LAMINADA YUNEX FEBRERO 2026","Yunex","Generada Cotización","Miguel Gutierrez",9.91,"03/03/2026 13:02","Duplicar Costeo","81072304"
"COS-0012704","CHAQUETA LAMINADA YUNEX FEBRERO 2026","Yunex","Generada Cotización","Miguel Gutierrez",9.91,"03/03/2026 12:54","Duplicar Costeo","81072133"
"COS-0012703","CHAQUETA LAMINADA YUNEX FEBRERO 2026","Yunex","Creado","Miguel Gutierrez",23.08,"03/03/2026 12:54","Solicitar Revisión / Aprobado","81072120"
"COS-0012702","PANTALON NEGRO TACTICO 2026","G4S","Generada Cotización","Pilar Gómez",15.25,"03/03/2026 12:50","Duplicar Costeo","81072006"
"COS-0012701","TALMA  ABRIL / TALLAS PEQUEÑAS","TALMA COLOMBIA","Creado","Xiomara Aranda Perea",28.07,"03/03/2026 12:04","Solicitar Revisión / Aprobado","81070430"
"COS-0012700","CONJUNTO ANTIFLUIDO PUNTO PAGO  MARZO  2026","PUNTO DE PAGO 1","Generada Cotización","Xiomara Aranda Perea",20.0,"03/03/2026 11:34","Duplicar Costeo","81068751"
"COS-0012699","DOTACION  GENERAL  TALMA  MARZO  2026","TALMA COLOMBIA","Creado","Xiomara Aranda Perea",21.2,"03/03/2026 11:25","Solicitar Revisión / Aprobado","81068400"
